vorname,nachname,anrede,recep-email
ABB,contact.center@de.abb.com
Adafruit,support@adafruit.com
Apple,contactus.de@euro.apple.com
Arduino,support@arduino.cc
Bosch,kontakt@bosch.de
Bose,sales_support_de@bose.com
CCC,mail@ccc.de
Corpuls,info@corpuls.com
Daimer Trucks,contact@daimlertruck.com
Dell,DE.CustomerSupport@dell.com
Eurocircuits,Klaus.Rockstroh@eurocircuits.com
Infinion,Support@infineon.com
Keysight,contactcenter_germany@keysight.com
Makita,info@makita.de
Pepperl und Fuchs,info@de.pepperl-fuchs.com
Rohde und Schwarz,info@rohde-schwarz.com
SAP,info.germany@sap.com
Sennheiser,contact@sennheiser.com
Spax,info@spax.com
Teufel,impressum@teufel.de
Vector,info@vector.com
Wago,info.de@wago.com
